doi	fk_idx	cole_idx	date
44161-024-00485-1	17.4	26.61	2024-07-05T00:00:00Z
44172-024-00284-3	16.4	27.48	2024-10-05T00:00:00Z
44159-024-00342-9	20.0	55.16	2024-07-09T00:00:00Z
44160-024-00617-2	17.4	55.03	2024-07-09T00:00:00Z
44161-024-00520-1	18.8	56.03	2024-07-04T00:00:00Z
44160-024-00566-w	17.9	32.51	2024-07-01T00:00:00Z
44184-024-00106-6	17.4	28.35	2024-12-02T00:00:00Z
44168-024-00189-z	17.5	31.13	2024-12-02T00:00:00Z
44160-024-00613-6	17.4	55.55	2024-06-27T00:00:00Z
44161-024-00515-y	18.8	56.03	2024-06-27T00:00:00Z
44168-024-00142-0	17.0	27.49	2024-07-29T00:00:00Z
44172-024-00250-z	15.9	27.99	2024-07-24T00:00:00Z
44172-024-00255-8	15.2	25.8	2024-08-01T00:00:00Z
44168-024-00145-x	16.7	26.96	2024-07-24T00:00:00Z
44185-024-00049-3	16.3	27.94	2024-07-25T00:00:00Z
44168-024-00141-1	18.2	22.8	2024-07-23T00:00:00Z
44172-024-00235-y	16.2	28.0	2024-07-23T00:00:00Z
44172-024-00242-z	18.0	32.92	2024-07-15T00:00:00Z
44172-024-00247-8	17.6	29.45	2024-07-19T00:00:00Z
44185-024-00048-4	17.5	27.77	2024-07-18T00:00:00Z
44172-024-00248-7	17.6	29.16	2024-07-23T00:00:00Z
44168-024-00140-2	15.9	22.68	2024-07-16T00:00:00Z
44168-024-00179-1	18.4	32.59	2024-11-11T00:00:00Z
44185-024-00066-2	18.4	32.59	2024-11-11T00:00:00Z
44172-024-00237-w	18.2	30.49	2024-07-04T00:00:00Z
44172-024-00244-x	18.8	32.0	2024-07-05T00:00:00Z
44168-024-00143-z	17.4	28.52	2024-07-08T00:00:00Z
44172-024-00240-1	20.1	27.67	2024-07-10T00:00:00Z
44172-024-00245-w	17.4	28.93	2024-07-10T00:00:00Z
44168-024-00137-x	19.4	31.37	2024-07-02T00:00:00Z
44172-024-00238-9	16.2	27.3	2024-07-09T00:00:00Z
44172-024-00243-y	15.8	26.95	2024-07-04T00:00:00Z
44168-024-00135-z	22.2	24.6	2024-07-02T00:00:00Z
43856-024-00566-z	19.4	25.64	2024-07-10T00:00:00Z
43587-024-00665-5	18.1	22.44	2024-07-02T00:00:00Z
43587-024-00680-6	17.8	26.5	2024-07-10T00:00:00Z
43587-024-00657-5	17.4	27.77	2024-06-24T00:00:00Z
43856-024-00653-1	16.5	24.82	2024-10-29T00:00:00Z
43856-024-00649-x	17.4	26.44	2024-10-29T00:00:00Z
