doi	subject
43856-024-00520-z	Cancer microenvironment
43856-024-00520-z	Tumour biomarkers
43856-024-00594-9	Antimicrobial resistance
43856-024-00594-9	Drug development
43588-024-00600-z	Batteries
43588-024-00600-z	Computational chemistry
43588-024-00600-z	Energy
43586-024-00293-8	Characterization and analytical techniques
43586-024-00293-8	Surfaces
43586-024-00293-8	 interfaces and thin films
43586-024-00297-4	Engineering
43586-024-00297-4	Materials science
43856-024-00502-1	Computational biology and bioinformatics
43856-024-00502-1	Prostate cancer
43856-024-00507-w	Heart failure
43856-024-00507-w	Metabolomics
43856-024-00521-y	Epidemiology
43856-024-00521-y	Viral infection
43856-024-00505-y	Drug delivery
43856-024-00505-y	Drug development
43856-024-00512-z	Cancer stem cells
43856-024-00512-z	Mesenchymal migration
43856-024-00512-z	Oesophageal cancer
43856-024-00517-8	Diagnostic markers
43856-024-00517-8	DNA methylation
43856-024-00517-8	Next-generation sequencing
43856-024-00517-8	Ovarian cancer
43856-024-00510-1	Lifestyle modification
43856-024-00510-1	Olfactory system
43856-024-00524-9	Epidemiology
43856-024-00524-9	Parasitology
43856-024-00522-x	Paediatric cancer
43856-024-00522-x	Sarcoma
43856-024-00518-7	Breast cancer
43856-024-00518-7	Diagnosis
43587-023-00542-7	Ageing
43587-023-00542-7	Diseases
43587-023-00542-7	Social sciences
43586-023-00287-y	Chemical engineering
43586-023-00287-y	Water resources
43586-024-00291-w	Nanocomposites
43586-024-00291-w	Nanoscale devices
43586-023-00286-z	Imaging
43586-023-00286-z	Microscopy
43586-023-00286-z	Optical techniques
43856-024-00500-3	Atopic dermatitis
43856-024-00500-3	Inflammatory diseases
43856-024-00491-1	Gestational diabetes
43856-024-00468-0	Health services
43856-024-00468-0	Medical research
43856-024-00468-0	Prognosis
42949-024-00161-0	Geography
43856-024-00487-x	Antimicrobials
43856-024-00487-x	Diagnosis
43856-024-00499-7	Endocrine system and metabolic diseases
43856-024-00499-7	Gastroenterology
43856-024-00499-7	Prognostic markers
43856-024-00504-z	Cancer genomics
43856-024-00504-z	Colorectal cancer
42949-024-00162-z	Climate-change adaptation
42949-024-00162-z	Climate-change mitigation
42949-024-00162-z	Hydrology
43856-024-00640-6	Pox virus
43856-024-00640-6	Viral infection
43586-023-00281-4	Raman spectroscopy
43586-023-00284-1	Immunogenetics
43586-023-00284-1	Sequencing
43856-024-00618-4	Cardiac device therapy
43856-024-00618-4	Cardiology
44183-023-00033-7	Environmental social sciences
44183-023-00033-7	Sustainability
44168-023-00075-0	Climate-change mitigation
44168-023-00075-0	Energy modelling
44168-023-00075-0	History
44168-023-00075-0	Institutions
44168-023-00075-0	Sociology
44172-024-00162-y	Computer science
44172-024-00162-y	Engineering
44172-023-00152-6	Business
44172-023-00152-6	Climate-change mitigation
44172-023-00152-6	Electrical and electronic engineering
44172-023-00152-6	Environmental impact
44183-023-00040-8	Conservation biology
44183-023-00040-8	Marine biology
44172-024-00167-7	Applied optics
44172-024-00167-7	Optical imaging
44172-024-00160-0	Acoustics
44172-024-00160-0	Engineering
44172-023-00155-3	Energy access
44172-023-00155-3	Energy management
44172-023-00155-3	Energy security
44172-023-00155-3	Power distribution
44172-023-00155-3	Renewable energy
44168-023-00094-x	Climate-change mitigation
44168-023-00094-x	Institutions
44184-023-00045-8	Health services
44184-023-00045-8	Public health
44172-023-00158-0	Electrical and electronic engineering
44172-023-00158-0	Fluid dynamics
44184-023-00043-w	Human behaviour
44184-023-00043-w	Psychology
44184-023-00043-w	Signs and symptoms
44172-023-00146-4	Techniques and instrumentation
44172-023-00146-4	Therapeutics
43705-023-00340-7	Biogeochemistry
43705-023-00340-7	Microbial ecology
44172-024-00163-x	Aerospace engineering
44172-024-00163-x	Mechanical engineering
44172-023-00153-5	Electrical and electronic engineering
44172-023-00153-5	Energy
44172-024-00168-6	Biomedical engineering
44172-024-00168-6	Mathematics and computing
44172-024-00168-6	Mechanical engineering
44172-023-00156-2	Electrical and electronic engineering
44172-023-00156-2	Information technology
43705-023-00339-0	Applied microbiology
43705-023-00339-0	Metagenomics
43705-023-00339-0	Microbiome
44184-023-00041-y	Biomarkers
44184-023-00041-y	Psychiatric disorders
44168-023-00074-1	Climate change
44168-023-00074-1	Politics
44168-023-00074-1	Sociology
44183-024-00079-1	Biodiversity
44183-024-00079-1	Biooceanography
44183-024-00079-1	Conservation biology
44183-024-00079-1	Marine biology
44172-024-00290-5	Aerospace engineering
44172-024-00290-5	Climate-change mitigation
44185-024-00062-6	Biodiversity
44185-024-00062-6	Conservation biology
44185-024-00062-6	Policy
44172-024-00256-7	
44168-024-00160-y	Decision making
44168-024-00160-y	Government
44183-024-00081-7	Environmental studies
44183-024-00081-7	Ocean sciences
44183-024-00078-2	Climate-change adaptation
