,doi,subject
0,s41928-020-0398-8,Biomedical engineering
1,s41928-020-0398-8,Electrical and electronic engineering
2,s41928-020-0398-8,Electronic devices
3,s41928-020-0398-8,Sensors and biosensors
4,s41928-020-0457-1,Electrical and electronic engineering
5,s41928-020-0457-1,Electronic devices
6,s41928-020-0457-1,Technology
7,s41893-020-0584-8,Earth and environmental sciences
8,s41893-020-0584-8,Health policy
9,s41893-020-0584-8,Social policy
10,s41893-020-0584-8,Social sciences
11,s41893-020-0584-8,Sustainability
12,s41929-020-0483-4,Biocatalysis
13,s41929-020-0483-4,Biosynthesis
14,s41929-020-0483-4,Transferases
15,s42003-020-01229-0,Cryoelectron microscopy
16,s42003-020-01229-0,Image processing
17,s42005-020-00426-x,Electronic properties and materials
18,s42005-020-00426-x,Surfaces
19,s42005-020-00426-x, interfaces and thin films
20,s42005-020-00426-x,Techniques and instrumentation
21,s41746-020-00324-0,Health services
22,s41746-020-00324-0,Outcomes research
23,s42003-020-01205-8,Palaeontology
24,s42003-020-01205-8,Phylogenetics
25,s42003-020-01205-8,Taxonomy
26,s42003-020-01224-5,Evolution
27,s42003-020-01224-5,Molecular biology
28,s42003-020-01224-5,Plant sciences
29,s42003-020-01163-1,Heritable quantitative trait
30,s42003-020-01163-1,Neuroscience
31,s42005-020-00424-z,Chemical physics
32,s42005-020-00424-z,Excited states
33,s42005-020-00424-z,Nanocavities
34,s42005-020-00424-z,Polaritons
35,s42005-020-00424-z,Optical spectroscopy
36,s42003-020-01395-1,
37,s42003-020-01232-5,Cancer genomics
38,s42003-020-01232-5,Olfactory receptors
39,s42003-020-01232-5,Transcriptomics
40,s42004-020-00376-z,Crystal engineering
41,s42004-020-00376-z,Green chemistry
42,s42004-020-00376-z,Sustainability
43,s42005-020-00425-y,Chemical physics
44,s42005-020-00425-y,Electronic properties and materials
45,s42005-020-00425-y,Surfaces
46,s42005-020-00425-y, interfaces and thin films
47,s42003-020-01414-1,Cell biology
48,s42003-020-01414-1,Drug discovery
49,s42004-020-00374-1,Chemical libraries
50,s42004-020-00374-1,Cheminformatics
51,s42003-020-01223-6,Enzyme mechanisms
52,s42003-020-01223-6,Methylases
53,s42003-020-01223-6,Methylation
54,s42003-020-01223-6,Transferases
55,s42003-020-01223-6,X-ray crystallography
56,s42003-020-01230-7,Cancer
57,s42003-020-01230-7,Computational biology and bioinformatics
58,s42003-020-01230-7,Tumour heterogeneity
59,s42005-020-00428-9,Biological physics
60,s42005-020-00428-9,Nonlinear optics
61,s42004-020-00372-3,Atomic force microscopy
62,s42004-020-00372-3,Imaging techniques
63,s42004-020-00372-3,Molecular self-assembly
64,s42004-020-00372-3,Supramolecular polymers
65,s41893-020-0587-5,Biodiversity
66,s41893-020-0587-5,Decision making
67,s41893-020-0587-5,Environmental social sciences
68,s41893-020-0587-5,Interdisciplinary studies
69,s41893-020-0587-5,Sustainability
70,s41746-020-00368-2,Business and industry
71,s41746-020-00368-2,Health care
72,s41746-020-00368-2,Research data
73,s41893-020-0563-0,Economics
74,s41893-020-0563-0,Environmental sciences
75,s41893-020-0563-0,Health care
76,s41893-020-0563-0,SARS-CoV-2
