journal,issn,title,authors,year,volume_issue,publication_date,doi
Nature,0028-0836,Landscape dynamics and the Phanerozoic diversification of the biosphere.,Tristan Salles; Laurent Husson; Manon Lorcery; Beatriz Hadler Boggiani,2023,,,10.1038/s41586-023-06777-z
Nature,0028-0836,Phase transitions in random circuit sampling,A Morvan; B Villalonga; X Mi; S Mandrà; A Bengtsson; P V Klimov; Z Chen; S Hong; C Erickson; I K Drozdov; J Chau; G Laun; R Movassagh; A Asfaw; L T A N Brandão; R Peralta; D Abanin; R Acharya; R Allen; T I Andersen; K Anderson; M Ansmann; F Arute; K Arya; J Atalaya; J C Bardin; A Bilmes; G Bortoli; A Bourassa; J Bovaird; L Brill; M Broughton,2024,,,10.1038/s41586-024-07998-6
Nature,0028-0836,We’ve misunderstood Uranus all these years,,2025,v640 n8059 (20250417): 573,2025-04-17,10.1038/d41586-025-01074-3
Nature,0028-0836,Pivotal moment for trust in science – don’t waste it,Patricia Andrews Fearon; Friedrich M Götz; David Good,2020,v580 n7804 (20200423): 456,2020-04-23,10.1038/d41586-020-01145-7
Nature,0028-0836,Summertime increases in upper-ocean stratification and mixed-layer depth.,Jean-Baptiste Sallée; Violaine Pellichero; Camille Akhoudas; Etienne Pauthenet; Lucie Vignes; Sunke Schmidtko; Alberto Naveira Garabato; Peter Sutherland; Mikael Kuusela,2021,,,10.1038/s41586-021-03303-x
Nature,0028-0836,Publisher Correction: Direct observation of the dead-cone effect in quantum chromodynamics,,2022,v607 n7920 (20220707): E22,2022-07-07,10.1038/s41586-022-05026-z
Nature,0028-0836,UK academic faculty staff members excoriate university-management practices in survey.,Chris Woolston,2020,,,10.1038/d41586-020-00817-8
Nature,0028-0836,Ancient DNA reveals traces of elusive first humans in Europe,,2023,v623 n7985 (20231102): 11,2023-11-02,10.1038/d41586-023-03278-x
Nature,0028-0836,The unsung geniuses who uncovered why we sleep and dream,Jennifer L Martin,2023,v624 n7991 (20231214): 250-251,2023-12-14,10.1038/d41586-023-03864-z
Nature,0028-0836,Light arrays measure up on a chip the size of a fingertip,H Y Fu; Qian Li,2022,v603 n7900 (20220310): 232-233,2022-03-10,10.1038/d41586-022-00642-1
Nature,0028-0836,Synthetic reversed sequences reveal default genomic states,Brendan R Camellato; Ran Brosh; Hannah J Ashe; Matthew T Maurano; Jef D Boeke,2024,,,10.1038/s41586-024-07128-2
Nature,0028-0836,Ultra-fast deep-learned CNS tumour classification during surgery,C Vermeulen; M Pagès-Gallego; L Kester; M E G Kranendonk; P Wesseling; N Verburg; P de Witt Hamer; E J Kooi; L Dankmeijer; J van der Lugt; K van Baarsen; E W Hoving; B B J Tops; J de Ridder,2023,,,10.1038/s41586-023-06615-2
Nature,0028-0836,A two-step hormone-signalling mechanism that drives physical activity,Stephanie L Padilla,2021,v599 n7883 (20211104): 37-39,2021-11-04,10.1038/d41586-021-02725-x
Nature,0028-0836,The next chapter for African genomics.,Amy Maxmen,2020,,,10.1038/d41586-020-00454-1
Nature,0028-0836,Unimolecular net heterolysis of symmetric and homopolar σ-bonds.,Anna F Tiefel; Daniel J Grenda; Carina Allacher; Elias Harrer; Carolin H Nagel; Roger J Kutta; David Hernández-Castillo; Poorva R Narasimhamurthy; Kirsten Zeitler; Leticia González; Julia Rehbein; Patrick Nuernberger; Alexander Breder,2024,,,10.1038/s41586-024-07622-7
Nature,0028-0836,A milestone in human genetics highlights diversity gaps,,2020,v581 n7809 (20200528): 356,2020-05-28,10.1038/d41586-020-01551-x
Nature,0028-0836,'Never seen anything like this': Trump's team halts NIH meetings and travel.,Max Kozlov,2025,,,10.1038/d41586-025-00231-y
Nature,0028-0836,Stat checkers: make reproducible computer code mandatory,Dominic Guitard; Sylvain Fiset,2023,v616 n7957 (20230420): 433,2023-04-20,10.1038/d41586-023-01275-8
Nature,0028-0836,"Healthy people, healthy planet: the search for a sustainable global diet",Chris Woolston,2020,v588 n7837 (20201209): S54-S56,2020-12-09,10.1038/d41586-020-03443-6
Nature,0028-0836,Author Correction: Cyclin-dependent kinase 12 is a drug target for visceral leishmaniasis,Susan Wyllie; Michael Thomas; Stephen Patterson; Sabrinia Crouch; Manu De Rycker; Rhiannon Lowe; Stephanie Gresham; Michael D Urbaniak; Thomas D Otto; Laste Stojanovski; Frederick R C Simeons; Sujatha Manthri; Lorna M MacLean; Fabio Zuccotto; Nadine Homeyer; Hannah Pflaumer; Markus Boesche; Lalitha Sastry; Paul Connolly,2023,v619 n7970 (20230720): E48,2023-07-20,10.1038/s41586-023-06364-2
Nature,0028-0836,Synthetic reversed sequences reveal default genomic states,,,,,
Nature,0028-0836,Japanese robotics lags as AI captures global attention,Rachel Nuwer,2023,v615 n7951 (20230309): S92-S94,2023-03-09,10.1038/d41586-023-00668-z
Nature,0028-0836,How loss of social status affects the brain.,Alexander Z Harris; Nancy Padilla-Coreano,2023,,,10.1038/d41586-023-00602-3
Nature,0028-0836,Fibrin drives thromboinflammation and neuropathology in COVID-19,Jae Kyu Ryu; Zhaoqi Yan; Mauricio Montano; Elif G Sozmen; Karuna Dixit; Rahul K Suryawanshi; Yusuke Matsui; Ekram Helmy; Prashant Kaushal; Sara K Makanani; Thomas J Deerinck; Anke Meyer-Franke; Pamela E Rios Coronado; Troy N Trevino; Min-Gyoung Shin; Reshmi Tognatta; Yixin Liu; Renaud Schuck; Lucas Le; Hisao Miyajima; Andrew S Mendiola,2024,,,10.1038/s41586-024-07873-4
Nature,0028-0836,Discrimination Is Breaking People's Hearts.,Jyoti Madhusoodanan,2022,,,10.1038/d41586-022-01346-2
Nature,0028-0836,Long COVID: don’t consign ME/CFS to history,Peter White,2020,v587 n7833 (20201110): 197,2020-11-10,10.1038/d41586-020-03136-0
Nature,0028-0836,The promise and pitfalls of gene testing for cancer risk,Jyoti Madhusoodanan,2021,v600 n7889 (20211216): S50-S52,2021-12-16,10.1038/d41586-021-03720-y
Nature,0028-0836,Flu vaccine could cut COVID risk,Ewen Callaway,2022,v605 n7911 (20220516): 602,2022-05-16,10.1038/d41586-022-01315-9
Nature,0028-0836,Possible overestimation of isomer depletion due to contamination,Song Guo; Yongde Fang; Xiaohong Zhou; C M Petrache,2021,v594 n7861 (20210602): E1-E2,2021-06-02,10.1038/s41586-021-03333-5
Nature,0028-0836,"Daily briefing: Scientist shot at US university, PhD student arrested",Flora Graham,2023,,,10.1038/d41586-023-02744-w
Nature,0028-0836,India lands on the Moon! Scientists celebrate as Chandrayaan-3 touches down,T V Padma,2023,,,
Nature,0028-0836,What my retraction taught me.,Ben de Haas,2021,,,10.1038/d41586-021-00073-4
Nature,0028-0836,Science needs strong advocates in the Nigerian elections,Amina Ahmed El-Imam,2023,v614 n7949 (20230221): 595,2023-02-21,10.1038/d41586-023-00507-1
Nature,0028-0836,Is there life on Jupiter's moon Europa? NASA launches mission to find hints.,Alexandra Witze,2024,,,10.1038/d41586-024-03225-4
Nature,0028-0836,Origin and evolutionary malleability of T cell receptor α diversity,Orlando B Giorgetti; Connor P O’Meara; Michael Schorpp; Thomas Boehm,2023,,,10.1038/s41586-023-06218-x
Nature,0028-0836,I was prevented from attending my own conference: visa processes need urgent reform.,Felix Moronta-Barrios,2024,,,10.1038/d41586-024-02053-w
Nature,0028-0836,Supersonic ‘bullets’ are softly captured by a protein gel,,2023,v619 n7970 (20230720): 439,2023-07-20,10.1038/d41586-023-02253-w
Nature,0028-0836,A visual guide to repairing the retina,Michael Eisenstein,2021,v600 n7887 (20211201): S2-S3,2021-12-01,10.1038/d41586-021-03575-3
Nature,0028-0836,This microbe works a toxic metal into a weapon against its foes,,2021,v599 n7886 (20211119): 534,2021-11-19,10.1038/d41586-021-03477-4
Nature,0028-0836,How to enhance lab-team efficiency with tools from the tech industry,Lathan Liou; Akshay Swaminathan,2024,,,10.1038/d41586-024-00312-4
Nature,0028-0836,Reply to: On the measured dielectric constant of amorphous boron nitride,,,,,
Nature,0028-0836,Dear scientists: stop calling America the ‘New World’,Fernanda Adame,2023,,,10.1038/d41586-023-00992-4
Nature,0028-0836,How deadly is monkeypox? What scientists know,Max Kozlov,2022,v609 n7928 (20220922): 663,2022-09-22,10.1038/d41586-022-02931-1
Nature,0028-0836,Gut microbiome strain-sharing within isolated village social networks,Francesco Beghini; Jackson Pullman; Marcus Alexander; Shivkumar Vishnempet Shridhar; Drew Prinster; Adarsh Singh; Rigoberto Matute Juárez; Edoardo M Airoldi; Ilana L Brito; Nicholas A Christakis,2025,v637 n8044 (20250102): 167-175,2025-01-02,10.1038/s41586-024-08222-1
Nature,0028-0836,Live-animal imaging of native haematopoietic stem and progenitor cells,Constantina Christodoulou; Joel A Spencer; Shu-Chi A Yeh; Raphaël Turcotte; Konstantinos D Kokkaliaris; Riccardo Panero; Azucena Ramos; Guoji Guo; Negar Seyedhassantehrani; Tatiana V Esipova; Sergei A Vinogradov; Sarah Rudzinskas; Yi Zhang; Archibald S Perkins; Stuart H Orkin; Raffaele A Calogero; Timm Schroeder; Charles P Lin,2020,v578 n7794 (20200213): 278-283,2020-02-13,10.1038/s41586-020-1971-z
Nature,0028-0836,Illuminating the multidimensional contributions of small-scale fisheries.,Xavier Basurto; Nicolas L Gutierrez; Nicole Franz; Maria Del Mar Mancha-Cisneros; Giulia Gorelli; Alba Aguión; Simon Funge-Smith; Sarah Harper; Dave J Mills; Gianluigi Nico; Alex Tilley; Stefania Vannuccini; John Virdin; Lena Westlund; Edward H Allison; Christopher M Anderson; Andrew Baio; Joshua Cinner; Michael Fabinyi; Christina C Hicks; Jeppe Kolding,2025,,,10.1038/s41586-024-08448-z
Nature,0028-0836,Social capital II: determinants of economic connectedness.,Raj Chetty; Matthew O Jackson; Theresa Kuchler; Johannes Stroebel; Nathaniel Hendren; Robert B Fluegge; Sara Gong; Federico Gonzalez; Armelle Grondin; Matthew Jacob; Drew Johnston; Martin Koenen; Eduardo Laguna-Muggenburg; Florian Mudekereza; Tom Rutter; Nicolaj Thor; Wilbur Townsend; Ruby Zhang; Mike Bailey,2022,,,10.1038/s41586-022-04997-3
Nature,0028-0836,Transparent ferroelectric crystals with ultrahigh piezoelectricity,Qiu C; Zhang N; Liu J; Xu Z; Li F; Wang B; Zhang S; Shrout TR; Chen L-Q; Walker D; Wang Y; Tian H,2020,,,10.1038/s41586-019-1891-y
Nature,0028-0836,Countries of the Indo-Gangetic Plain must unite against air pollution.,Muhammad Fahim Khokhar; Muhammad Shehzaib Anjum; Abdus Salam; Vinayak Sinha; Manish Naja; Hiroshi Tanimoto; James H Crawford; Mohammed Iqbal Mead,2021,,,10.1038/d41586-021-02829-4
