title,authors,year,journal,volume_issue,doi
Landscape dynamics and the Phanerozoic diversification of the biosphere.,Tristan Salles; Laurent Husson; Manon Lorcery; Beatriz Hadler Boggiani,2023,Nature,Article,10.1038/s41586-023-06777-z
A compositional link between rocky exoplanets and their host stars,Vardan Adibekyan; Caroline Dorn; Sérgio G Sousa; Nuno C Santos; Bertram Bitsch; Garik Israelian; Christoph Mordasini; Susana C C Barros; Elisa Delgado Mena; Olivier D S Demangeon; João P Faria; Pedro Figueira; Artur A Hakobyan; Mahmoudreza Oshagh; Bárbara M T B Soares; Masanobu Kunitomo; Yoichi Takeda; Emiliano Jofré,2021,Science,Article,10.1126/science.abg8794
Genetic and molecular architecture of complex traits,Tuuli Lappalainen; Yang I Li; Sohini Ramachandran; Alexander Gusev,2024,Cell,Article,10.1016/j.cell.2024.01.023
African coronavirus surveillance network provides early warning for world,Paul Adepoju,2022,Nature Biotechnology,Article,10.1038/d41587-022-00003-3
Extreme sea levels at different global warming levels,Claudia Tebaldi; Roshanka Ranasinghe; Michalis Vousdoukas; D J Rasmussen; Ben Vega-Westhoff; Ebru Kirezci; Robert E Kopp; Ryan Sriver; Lorenzo Mentaschi,2021,Nature Climate Change,Article,10.1038/s41558-021-01127-1
Redirecting marine antibiofouling innovations from sustainable horizons,Xiaobo Liu; Jin-Long Yang; Daniel Rittschof; James S Maki; Ji-Dong Gu,2022,Trends in Ecology & Evolution,Article,10.1016/j.tree.2022.02.009
Colitis reduces active social engagement in mice and is ameliorated by supplementation with human microbiota members.,D Garrett Brown; Michaela Murphy; Roberto Cadeddu; Rickesha Bell; Allison Weis; Tyson Chiaro; Kendra Klag; Jubel Morgan; Hilary Coon; W Zac Stephens; Marco Bortolato; June L Round,2024,Nature Communications,Article,10.1038/s41467-024-46733-7
Deforestation linked to respiratory health,Alexa McKay,2023,Nature Ecology & Evolution,Article,10.1038/s41559-023-02065-1
Inside the STEM Pipeline: Changes in Students' Biomedical Career Plans across the College Years,Emily Q Rosenzweig; Cameron A Hecht; Stacy J Priniski; Elizabeth A Canning; Michael W Asher; Yoi Tibbetts; Janet S Hyde; Judith M Harackiewicz,2021,Science Advances,Book,
"The Floral Microbiome: Plant, Pollinator, and Microbial Perspectives",Rachel L Vannette,2020,"Annual Review of Ecology, Evolution, and Systematics",Article,10.1146/annurev-ecolsys-011720-013401
Sparse Epistatic Patterns in the Evolution of Terpene Synthases.,Aditya Ballal; Caroline Laurendon; Melissa Salmon; Maria Vardakou; Jitender Cheema; Marianne Defernez; Paul E O'Maille; Alexandre V Morozov,2020,Molecular Biology and Evolution,Article,10.1093/molbev/msaa052
Functional advantages of Lévy walks emerging near a critical point,Masato S Abe,2020,Proceedings of the National Academy of Sciences (PNAS),Article,10.1073/pnas.2001548117
Corrigendum.,,2020,Ecology Letters,Article,10.1111/ele.13498
Hard versus soft selective sweeps during domestication and improvement in soybean,Limei Zhong; Youlin Zhu; Kenneth M Olsen,2022,Molecular Ecology,Article,10.1111/mec.16454
megaSDM: integrating dispersal and time-step analyses into species distribution models,Benjamin R Shipley; Renee Bach; Younje Do; Heather Strathearn; Jenny L McGuire; Bistra Dilkina,2022,Ecography,Article,10.1111/ecog.05450
Contributions of the IUCN Red List of Ecosystems to risk-based design and management of protected and conserved areas in Africa,David A Keith; Somaya Magdy M Ghoraba; Eric Kaly; Kendall R Jones; Ané Oosthuizen; David Obura; Hugo M Costa; Fahiema Daniels; Eleutério Duarte; Hedley Grantham; Mishal Gudka; Juliet Norman; Lynne J Shannon; Andrew Skowno; José R Ferrer-Paris,2024,Conservation Biology,Article,10.1111/cobi.14169
"Predicting the effects of body size, temperature and diet on animal feeding rates",Lucas T Nunes; Diego R Barneche; Naomi S Lastrucci; Alana A Fraga; José A C C Nunes; Carlos E L Ferreira; Sergio R Floeter,2021,Functional Ecology,Article,10.1111/1365-2435.13872
Short‐ and long‐term wildfire threat when adapting infrastructure for wildlife conservation in the boreal forest,Denyse A Dawe; Marc‐André Parisien; Yan Boulanger; Jonathan Boucher; Alexandre Beauchemin; Dominique Arseneault,2022,Ecological Applications,Article,
"Projection of diabetes morbidity and mortality till
2045 in Indonesia based on risk factors and NCD prevention and control programs.",Mugi Wahidin; Anhari Achadi; Besral Besral; Soewarta Kosen; Mardiati Nadjib; Atik Nurwahyuni; Sudarto Ronoatmodjo; Ekowati Rahajeng; Masdalina Pane; Dian Kusuma,2024,Scientific Reports,Article,10.1038/s41598-024-54563-2
"Describing historical habitat use of a native fish-Cisco (Coregonus artedi)-in Lake Michigan between 1930 and
1932.",Yu-Chun Kao; David B Bunnell; Randy L Eshenroder; Devin N Murray,2020,PLOS One,Downloadable Article,10.1371/journal.pone.0231420
Identification of the hub genes in gastric cancer through weighted gene co-expression network analysis,Chunyang Li; Haopeng Yu; Yajing Sun; Xiaoxi Zeng; Wei Zhang,2021,PeerJ,Article,10.7717/peerj.10682
